nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
Micro World - The Village,21105-1,Minecraft,Micro World,2013,466,3,~$28.89,~$65.39,"Pieces,466,Minifigs,3, (3 unique to this set),Minifigs,min003, ,min004, ,min005, ,RRP,$34.99 | ,More,PPP,7.5c,Packaging,Box,Instructions,Yes,Additional images,13,Designer,Steen Sig Andersen, ,Launch/exit,1 Sep 2013 - 31 Dec 2014 (1y 3m 29d),Value new,~$65.39,Value used,~$28.89,Related sets,Connects with ,21102-1, ,21106-1, ,21107-1, "
Micro World - The Nether,21106-1,Minecraft,Micro World,2013,469,3,~$29.96,~$61.84,"Pieces,469,Minifigs,3, (3 unique to this set),Minifigs,min006, ,min007, ,RRP,$34.99 | ,More,PPP,7.5c,Packaging,Box,Instructions,Yes,Additional images,11,Designer,Steen Sig Andersen, ,Launch/exit,1 Sep 2013 - 31 Dec 2014 (1y 3m 29d),Value new,~$61.84,Value used,~$29.96,Related sets,Connects with ,21102-1, ,21105-1, ,21107-1, "
Mini Speeder,31000-1,Creator,3 in 1,2013,65,,,~$2.95,"Pieces,65,RRP,$6.99 | ,More,PPP,10.8c,Packaging,Plastic canister,Instructions,Yes,Additional images,5,Designer,Andy Seenan, ,Value new,~$6.30,Value used,~$2.95"
Mini Skyflyer,31001-1,Creator,3 in 1,2013,62,,,~$2.82,"Pieces,62,RRP,$6.99 | ,More,PPP,11.3c,Packaging,Plastic canister,Instructions,Yes,Additional images,5,Designer,Andy Seenan, ,Value new,~$9.88,Value used,~$2.82"
Super Racer,31002-1,Creator,3 in 1,2013,121,,,~$2.35,"Pieces,121,RRP,$14.99 | ,More,PPP,12.4c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Morten Graff-Wang, ,Value new,~$15.35,Value used,~$2.35"
Red Rotors,31003-1,Creator,3 in 1,2013,145,,~$4.95,~$14.48,"Pieces,145,RRP,$14.99 | ,More,PPP,10.3c,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Morten Graff-Wang, ,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$14.48,Value used,~$4.95"
Fierce Flyer,31004-1,Creator,3 in 1,2013,166,,,,"Pieces,166,RRP,$14.99 | ,More,PPP,9.0c,Packaging,Box,Instructions,Yes,Additional images,6,Value new,~$30.52,Value used,~$10.57"
Construction Hauler,31005-1,Creator,3 in 1,2013,256,,,,"Pieces,256,RRP,$17.99 | ,More,PPP,7.0c,Packaging,Box,Instructions,Yes,Additional images,7,Value new,~$31.71,Value used,~$7.52"
Highway Speedster,31006-1,Creator,3 in 1,2013,286,,~$10.94,~$23.93,"Pieces,286,RRP,$24.99 | ,More,PPP,8.7c,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Andy Seenan, ,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$23.93,Value used,~$10.94"
Power Mech,31007-1,Creator,3 in 1,2013,223,,,~$9.70,"Pieces,223,RRP,$19.99 | ,More,PPP,9.0c,Packaging,Box,Instructions,Yes,Additional images,7,Designer,Morten Graff-Wang, ,Value new,~$26.95,Value used,~$9.70"
Thunder Wings,31008-1,Creator,3 in 1,2013,235,,,,"Pieces,235,RRP,$19.99 | ,More,PPP,8.5c,Packaging,Box,Instructions,Yes,Additional images,4,Value new,~$31.00,Value used,~$13.01"
Small Cottage,31009-1,Creator,3 in 1,2013,271,1,,~$17.51,"Pieces,271,Minifigs,1, ,Minifigs,pln172, ,RRP,$24.99 | ,More,PPP,9.2c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$36.73,Value used,~$17.51"
Treehouse,31010-1,Creator,3 in 1,2013,356,1,~$17.00,~$49.99,"Pieces,356,Minifigs,1, (1 unique to this set),Minifigs,pln173, ,RRP,$29.99, €29.99 | ,More,PPP,8.4c, 8.4c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Andy Seenan, ,Launch/exit,1 Jun 2013 - 31 Dec 2015 (2y 6m 29d),Value new,~$49.99,Value used,~$17.00"
Aviation Adventures,31011-1,Creator,3 in 1,2013,618,,~$42.00,~$71.60,"Pieces,618,RRP,$59.99 | ,More,PPP,9.7c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Morten Graff-Wang, ,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$71.60,Value used,~$42.00"
Family House,31012-1,Creator,3 in 1,2013,756,2,~$73.90,~$138.61,"Pieces,756,Minifigs,2, (2 unique to this set),Minifigs,twn185, ,twn186, ,RRP,$69.99 | ,More,PPP,9.3c,Packaging,Box,Instructions,Yes,Additional images,5,Designer,Mel Caddick, ,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$138.61,Value used,~$73.90"
Mindstorms EV3,31313-1,Mindstorms,EV3,2013,601,,~$282.51,~$559.93,"Pieces,601,RRP,$349.99, €341.17 | ,More,PPP,58.2c, 56.8c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Jørn Thomsen, ,Launch/exit,1 Sep 2013 - 31 Jul 2020 (6y 10m 29d),Value new,~$559.93,Value used,~$282.51"
Valentine's Day Heart Box,40051-1,Seasonal,Valentine's Day,2013,54,,,~$8.25,"Pieces,54,RRP,$4.99 | ,More,PPP,9.2c,Packaging,Polybag,Instructions,Yes,Additional images,2,Designer,Nina Koopmann, ,Value new,~$10.89,Value used,~$8.25"
Springtime Scene,40052-1,Seasonal,Spring,2013,88,2,,,"Pieces,88,Minifigs,2, (2 unique to this set),Minifigs,hol015, ,hol016, ,RRP,$7.99 | ,More,PPP,9.1c,Packaging,Polybag,Instructions,Yes,Additional images,2,Value new,~$11.60,Value used,~$7.98"
Easter Bunny with Basket,40053-1,Seasonal,Easter,2013,96,,,,"Pieces,96,RRP,$4.99 | ,More,PPP,5.2c,Packaging,Polybag,Instructions,Yes,Additional images,2,Value new,~$8.96,Value used,~$7.69"
Summer Scene,40054-1,Seasonal,Summer,2013,40,1,,,"Pieces,40,Minifigs,1, (1 unique to this set),Minifigs,hol017, ,RRP,$4.99 | ,More,PPP,12.5c,Packaging,Polybag,Instructions,Yes,Additional images,2,Value new,~$17.94,Value used,~$7.50"
Halloween Pumpkin,40055-1,Seasonal,Halloween,2013,52,,,~$6.23,"Pieces,52,RRP,$4.99 | ,More,PPP,9.6c,Packaging,Polybag,Additional images,2,Designer,Nina Koopmann, ,Value new,~$24.10,Value used,~$6.23"
Patrol Car,4436-1,City,Forest Police,2012,97,2,66427-1,~$5.51,"Pieces,97,Minifigs,2, (1 unique to this set),Minifigs,cty0007, ,cty0260, ,RRP,$11.99 | ,More,PPP,12.4c,Packaging,Box,Instructions,Yes,Additional images,9,Designer,Pierre Normandin, ,Value new,~$16.46,Value used,~$5.51,Related sets,Included in ,66427-1, ,66428-1, ,66436-1, "
Police Pursuit,4437-1,City,Forest Police,2012,129,2,66427-1,Random set of the day,"Pieces,129,Minifigs,2, (1 unique to this set),Minifigs,cty0266, ,cty0276, ,RRP,$17.99 | ,More,PPP,13.9c,Packaging,Box,Instructions,Yes,Additional images,13,Value new,~$22.50,Value used,~$6.40,Notes,Random set of the day, on 15 Jul 2022,Related sets,Included in ,66427-1, ,66436-1, "
Robber's Hideout,4438-1,City,Forest Police,2012,317,4,Random set of the day,~$48.89,"Pieces,317,Minifigs,4, (1 unique to this set),Minifigs,cty0264, ,cty0265, ,cty0273, ,cty0282, ,RRP,$39.99 | ,More,PPP,12.6c,Packaging,Box,Instructions,Yes,Additional images,18,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$97.50,Value used,~$48.89,Notes,Random set of the day, on 08 Jan 2024,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. "
Heavy-Lift Helicopter,4439-1,City,Forest Police,2012,393,3,66427-1,~$29.25,"Pieces,393,Minifigs,3, (2 unique to this set),Minifigs,cty0273, ,cty0274, ,cty0277, ,RRP,$49.99 | ,More,PPP,12.7c,Packaging,Box,Instructions,Yes,Additional images,13,Designer,Henrik Andersen, ,Value new,~$90.00,Value used,~$29.25,Related sets,Included in ,66427-1, "
Forest Police Station,4440-1,City,Forest Police,2012,633,5,,Random set of the day,"Pieces,633,Minifigs,5, (1 unique to this set),Minifigs,cty0263, ,cty0264, ,cty0265, ,cty0266, ,cty0267, ,RRP,$79.99 | ,More,PPP,12.6c,Packaging,Box,Instructions,Yes,Additional images,18,Value new,~$132.40,Value used,~$50.23,Notes,Random set of the day, on 14 Sep 2023"
Police Dog Van,4441-1,City,Forest Police,2012,313,2,66427-1,~$18.77,"Pieces,313,Minifigs,2, ,Minifigs,cty0208, ,cty0273, ,RRP,$34.99 | ,More,PPP,11.2c,Packaging,Box,Instructions,Yes,Additional images,17,Designer,Samuel Johnson, ,Value new,~$46.40,Value used,~$18.77,Related sets,Included in ,66427-1, "
Batman,4526-1,DC Comics Super Heroes,Buildable Figures,2012,40,,,~$9.98,"Pieces,40,RRP,$14.99 | ,More,PPP,37.5c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$43.94,Value used,~$9.98"
The Joker,4527-1,DC Comics Super Heroes,Buildable Figures,2012,57,,Random set of the day,~$9.61,"Pieces,57,RRP,$14.99 | ,More,PPP,26.3c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$31.91,Value used,~$9.61,Notes,Random set of the day, on 01 May 2022"
Green Lantern,4528-1,DC Comics Super Heroes,Buildable Figures,2012,38,,,~$16.69,"Pieces,38,RRP,$14.99 | ,More,PPP,39.4c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$35.00,Value used,~$16.69"
Iron Man,4529-1,Marvel Super Heroes,Buildable Figures,2012,44,,,~$20.95,"Pieces,44,RRP,$14.99 | ,More,PPP,34.1c,Packaging,Box,Instructions,Yes,Additional images,2,Launch/exit,1 May 2012 - 31 Dec 2012 (8m),Value new,~$57.07,Value used,~$20.95"
The Hulk,4530-1,Marvel Super Heroes,Buildable Figures,2012,39,,,~$8.42,"Pieces,39,RRP,$14.99 | ,More,PPP,38.4c,Packaging,Box,Instructions,Yes,Additional images,2,Launch/exit,1 May 2012 - 31 Dec 2012 (8m),Value new,~$45.00,Value used,~$8.42"
Captain America,4597-1,Marvel Super Heroes,Buildable Figures,2012,44,,,~$13.79,"Pieces,44,RRP,$14.99 | ,More,PPP,34.1c,Packaging,Box,Instructions,Yes,Additional images,2,Launch/exit,1 May 2012 - 31 Dec 2012 (8m),Value new,~$49.82,Value used,~$13.79"
Pink Brick Box,4623-1,Duplo,2012,4623-1,30,,,,"Pieces,30,RRP,$14.99 | ,More,PPP,50.0c,Packaging,Tub,Instructions,Yes,Additional images,5,Value new,~$49.62,Value used,~$7.00"
Brick Box Green,4624-1,Duplo,2012,4624-1,31,,,,"Pieces,31,RRP,$14.99 | ,More,PPP,48.4c,Packaging,Tub,Instructions,Yes,Additional images,5,Value new,~$19.26,Value used,~$10.00"
Pink Brick Box,4625-1,Bricks and More,2012,4625-1,224,1,,~$7.00,"Pieces,224,Minifigs,1, (1 unique to this set),Minifigs,twn154, ,RRP,$14.99 | ,More,PPP,6.7c,Packaging,Tub,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$24.60,Value used,~$7.00"
Farm Brick Box,4626-1,Bricks and More,2012,4626-1,232,1,,~$19.83,"Pieces,232,Minifigs,1, (1 unique to this set),Minifigs,cty0296, ,RRP,$14.99 | ,More,PPP,6.5c,Packaging,Tub,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$37.81,Value used,~$19.83"
Fun With Bricks,4627-1,Duplo,2012,4627-1,85,,,,"Pieces,85,RRP,$29.99 | ,More,PPP,35.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$26.50"
Fun With Bricks,4628-1,Bricks and More,2012,4628-1,600,,,~$9.00,"Pieces,600,RRP,$29.99 | ,More,PPP,5.0c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$58.49,Value used,~$9.00"
Build & Play Box,4629-1,Duplo,2012,4629-1,150,,,,"Pieces,150,RRP,$59.99 | ,More,PPP,40.0c,Packaging,Box,Instructions,Yes,Additional images,8,Launch/exit,1 Sep 2012 - 31 Dec 2013 (1y 3m 29d),Value new,~$45.00"
Build & Play Box,4630-1,Make and Create,2012,4630-1,1000,,,~$38.01,"Pieces,1000,Packaging,Box,Instructions,Yes,Additional images,8,Launch/exit,1 Sep 2012 - 31 Dec 2013 (1y 3m 29d),Value new,~$75.69,Value used,~$38.01"
My First Build,4631-1,Duplo,2012,4631-1,59,1,,~$9.37,"Pieces,59,Minifigs,1, ,Minifigs,47394pb113, ,RRP,$24.99 | ,More,PPP,42.4c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$49.99,Value used,~$9.37"
Building Plates,4632-1,Duplo,Accessories,2012,3,,,,"Pieces,3,RRP,$9.99 | ,More,PPP,333.0c,Packaging,Shrink-wrapped,Additional images,2,Value new,~$16.37"
Fun With Vehicles,4635-1,Bricks and More,2012,4635-1,525,2,,~$18.04,"Pieces,525,Minifigs,2, (1 unique to this set),Minifigs,cty0215, ,cty0295, ,RRP,$29.99 | ,More,PPP,5.7c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$38.03,Value used,~$18.04"
Police Building Set,4636-1,Bricks and More,2012,4636-1,130,2,,,"Pieces,130,Minifigs,2, (2 unique to this set),Minifigs,cty0288, ,cty0289, ,RRP,$9.99 | ,More,PPP,7.7c,Packaging,Box,Instructions,Yes,Additional images,6,Value new,~$13.42,Value used,~$4.38"
Safari Building Set,4637-1,Bricks and More,2012,4637-1,152,2,,,"Pieces,152,Minifigs,2, (2 unique to this set),Minifigs,cty0275, ,cty0281, ,RRP,$9.99 | ,More,PPP,6.6c,Packaging,Box,Instructions,Yes,Additional images,6,Value new,~$14.99,Value used,~$6.03"
Thanksgiving Feast,40056-1,Seasonal,Thanksgiving,2013,46,2,,~$16.32,"Pieces,46,Minifigs,2, (2 unique to this set),Minifigs,hol022, ,hol023, ,RRP,$7.99 | ,More,PPP,17.4c,Packaging,Polybag,Additional images,2,Designer,Nina Koopmann, ,Value new,~$17.01,Value used,~$16.32"
Fall Scene,40057-1,Seasonal,Fall,2013,72,3,,~$14.98,"Pieces,72,Minifigs,3, (3 unique to this set),Minifigs,hol018, ,hol019, ,hol020, ,RRP,$7.99 | ,More,PPP,11.1c,Packaging,Polybag,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$15.52,Value used,~$14.98"
Decorating the Tree,40058-1,Seasonal,Christmas,2013,110,2,,~$10.00,"Pieces,110,Minifigs,2, (2 unique to this set),Minifigs,hol030, ,hol031, ,RRP,$7.99 | ,More,PPP,7.3c,Packaging,Polybag,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$15.19,Value used,~$10.00"
Santa's Sleigh,40059-1,Seasonal,Christmas,2013,77,2,,~$16.75,"Pieces,77,Minifigs,2, (1 unique to this set),Minifigs,hol009, ,hol033, ,RRP,$7.99 | ,More,PPP,10.4c,Packaging,Polybag,Instructions,Yes,Additional images,2,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$18.29,Value used,~$16.75"
Friends Pencil Holder,40080-1,Friends,Accessories,2013,138,,,,"Pieces,138,RRP,$14.99, €12.99 | ,More,PPP,10.9c, 9.4c,Packaging,Box,Instructions,Yes,Additional images,2,Designer,Nina Koopmann, ,Launch/exit,1 Mar 2013 - 31 Dec 2015 (2y 10m)"
Water Scooter Fun,41000-1,Friends,Beach,2013,28,1,,~$2.73,"Pieces,28,Minifigs,1, (1 unique to this set),Minifigs,frnd039, ,RRP,$6.99 | ,More,PPP,25.0c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$3.99,Value used,~$2.73"
Mia's Magic Tricks,41001-1,Friends,Pets,2013,90,1,,~$4.39,"Pieces,90,Minifigs,1, (1 unique to this set),Minifigs,frnd041, ,RRP,$9.99 | ,More,PPP,11.1c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$11.77,Value used,~$4.39"
Emma's Karate Class,41002-1,Friends,Sports,2013,93,1,,~$6.08,"Pieces,93,Minifigs,1, (1 unique to this set),Minifigs,frnd037, ,RRP,$9.99 | ,More,PPP,10.7c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$8.73,Value used,~$6.08"
Olivia's Newborn Foal,41003-1,Friends,Farm,2013,70,1,,~$5.41,"Pieces,70,Minifigs,1, (1 unique to this set),Minifigs,frnd040, ,RRP,$9.99 | ,More,PPP,14.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2013 - 31 Jul 2014 (1y 6m 28d),Value new,~$16.15,Value used,~$5.41"
Rehearsal Stage,41004-1,Friends,Music,2013,198,1,66455-1,~$14.99,"Pieces,198,Minifigs,1, (1 unique to this set),Minifigs,frnd038, ,RRP,$19.99 | ,More,PPP,10.1c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$22.71,Value used,~$14.99,Related sets,Included in ,66455-1, "
Heartlake High,41005-1,Friends,Heartlake City,2013,487,3,~$30.96,~$71.68,"Pieces,487,Minifigs,3, (3 unique to this set),Minifigs,frnd042a, ,frnd043, ,frnd044, ,RRP,$49.99 | ,More,PPP,10.3c,Packaging,Box,Instructions,Yes,Additional images,6,Designer,Bas Brederode, ,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$71.68,Value used,~$30.96,Related sets,Included in ,66455-1, "
Downtown Bakery,41006-1,Friends,Heartlake City,2013,253,2,5003097-1,~$11.93,"Pieces,253,Minifigs,2, (2 unique to this set),Minifigs,frnd049, ,frnd050, ,RRP,$29.99 | ,More,PPP,11.9c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$36.77,Value used,~$11.93,Related sets,Included in ,5003097-1, "
Heartlake Pet Salon,41007-1,Friends,Heartlake City,2013,242,2,,~$10.50,"Pieces,242,Minifigs,2, (2 unique to this set),Minifigs,frnd034, ,frnd035, ,RRP,$29.99 | ,More,PPP,12.4c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$37.99,Value used,~$10.50"
Heartlake City Pool,41008-1,Friends,Summer,2013,423,2,,Random set of the day,"Pieces,423,Minifigs,2, (2 unique to this set),Minifigs,frnd032, ,frnd033, ,RRP,$39.99 | ,More,PPP,9.5c,Packaging,Box,Instructions,Yes,Additional images,5,Value new,~$64.20,Value used,~$15.29,Notes,Random set of the day, on 09 Feb 2023"
Andrea's Bedroom,41009-1,Friends,Bedrooms,2013,75,1,,~$5.48,"Pieces,75,Minifigs,1, (1 unique to this set),Minifigs,frnd051, ,RRP,$9.99 | ,More,PPP,13.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2013 - 31 Jul 2014 (1y 1m 29d),Value new,~$13.32,Value used,~$5.48"
Olivia's Beach Buggy,41010-1,Friends,Beach,2013,94,1,,~$5.50,"Pieces,94,Minifigs,1, ,Minifigs,frnd048, ,RRP,$9.99 | ,More,PPP,10.6c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Jul 2014 (1y 1m 29d),Value new,~$11.40,Value used,~$5.50"
Stephanie's Soccer Practice,41011-1,Friends,Sports,2013,80,1,~$5.10,~$14.82,"Pieces,80,Minifigs,1, (1 unique to this set),Minifigs,frnd036, ,RRP,$9.99 | ,More,PPP,12.5c,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Bas Brederode, ,Launch/exit,1 Jan 2013 - 31 Dec 2013 (11m 29d),Value new,~$14.82,Value used,~$5.10"
Emma's Sports Car,41013-1,Friends,Traffic,2013,159,1,5003097-1,~$5.75,"Pieces,159,Minifigs,1, ,Minifigs,frnd052, ,RRP,$14.99 | ,More,PPP,9.4c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Dec 2014 (1y 6m 30d),Value new,~$17.23,Value used,~$5.75,Related sets,Included in ,5003097-1, ,66455-1, "
Dolphin Cruiser,41015-1,Friends,Summer,2013,612,3,Random set of the day,~$31.55,"Pieces,612,Minifigs,3, (3 unique to this set),Minifigs,frnd045, ,frnd046, ,frnd047, ,RRP,$69.99, €69.99 | ,More,PPP,11.4c, 11.4c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jun 2013 - 31 Dec 2015 (2y 6m 29d),Value new,~$134.54,Value used,~$31.55,Notes,Random set of the day, on 31 Mar 2023"
LEGO Friends Advent Calendar,41016-1,Friends,Seasonal,2013,213,2,~$10.00,~$22.03,"Pieces,213,Minifigs,2, (2 unique to this set),Minifigs,frnd053, ,frnd054, ,RRP,$29.99 | ,More,PPP,14.1c,Packaging,Box,Instructions,Yes,Additional images,7,Designer,Bas Brederode, ,Launch/exit,1 Sep 2013 - 31 Dec 2013 (3m 29d),Value new,~$22.03,Value used,~$10.00"
Squirrel's Tree House,41017-1,Friends,Animals Series 1,2013,41,,66497-1,~$3.63,"Pieces,41,RRP,$4.99 | ,More,PPP,12.2c,Packaging,Foil pack,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 30 Apr 2013 (3m 27d),Value new,~$7.65,Value used,~$3.63,Related sets,Included in ,66497-1, "
Cat's Playground,41018-1,Friends,Animals Series 1,2013,31,,66497-1,~$3.97,"Pieces,31,RRP,$4.99 | ,More,PPP,16.1c,Packaging,Foil pack,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 30 Apr 2013 (3m 27d),Value new,~$9.61,Value used,~$3.97,Related sets,Included in ,66497-1, "
Turtle's Little Oasis,41019-1,Friends,Animals Series 1,2013,33,,Random set of the day,~$3.75,"Pieces,33,RRP,$4.99 | ,More,PPP,15.1c,Packaging,Foil pack,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2013 - 30 Apr 2013 (3m 27d),Value new,~$8.33,Value used,~$3.75,Notes,Random set of the day, on 20 Jul 2023,Related sets,Included in ,66497-1, "
Hedgehog's Hideaway,41020-1,Friends,Animals Series 2,2013,34,,66497-1,~$3.34,"Pieces,34,RRP,$4.99 | ,More,PPP,14.7c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 May 2013 - 31 Aug 2013 (4m),Value new,~$5.88,Value used,~$3.34,Related sets,Included in ,66497-1, "
Poodle's Little Palace,41021-1,Friends,Animals Series 2,2013,46,,66497-1,~$2.95,"Pieces,46,RRP,$4.99 | ,More,PPP,10.8c,Packaging,Foil pack,Instructions,Yes,Additional images,4,Launch/exit,1 May 2013 - 31 Aug 2013 (4m),Value new,~$3.13,Value used,~$2.95,Related sets,Included in ,66497-1, "
Ambush Attack,5882-1,Dino,2012,5882-1,80,1,,,"Pieces,80,Minifigs,1, ,Minifigs,dino001, ,RRP,$11.99 | ,More,PPP,15.0c,Packaging,Box,Instructions,Yes,Additional images,4,Value new,~$39.50,Value used,~$8.47"
Tower Takedown,5883-1,Dino,2012,5883-1,136,1,,,"Pieces,136,Minifigs,1, ,Minifigs,dino002, ,RRP,$19.99 | ,More,PPP,14.7c,Packaging,Box,Instructions,Yes,Additional images,5,Value new,~$49.70,Value used,~$13.53"
Raptor Chase,5884-1,Dino,2012,5884-1,259,2,,,"Pieces,259,Minifigs,2, (1 unique to this set),Minifigs,dino001, ,dino005, ,RRP,$29.99 | ,More,PPP,11.6c,Packaging,Box,Instructions,Yes,Additional images,5,Value new,~$58.32,Value used,~$24.34"
Triceratops Trapper,5885-1,Dino,2012,5885-1,271,2,,~$40.89,"Pieces,271,Minifigs,2, (1 unique to this set),Minifigs,dino001, ,dino004, ,RRP,$49.99 | ,More,PPP,18.4c,Packaging,Box,Instructions,Yes,Additional images,5,Designers,Mark Stafford, ,Raphael Pretesacque, ,Value new,~$102.19,Value used,~$40.89"
T-Rex Hunter,5886-1,Dino,2012,5886-1,480,2,,~$75.83,"Pieces,480,Minifigs,2, (1 unique to this set),Minifigs,dino002, ,dino003, ,RRP,$69.99 | ,More,PPP,14.6c,Packaging,Box,Instructions,Yes,Additional images,7,Designer,Raphael Pretesacque, ,Value new,~$117.61,Value used,~$75.83"
Dino Defense HQ,5887-1,Dino,2012,5887-1,793,4,,,"Pieces,793,Minifigs,4, (2 unique to this set),Minifigs,dino001, ,dino002, ,dino006, ,dino007, ,RRP,$99.99 | ,More,PPP,12.6c,Packaging,Box,Instructions,Yes,Additional images,4,Value new,~$302.37,Value used,~$129.73"
Ocean Interceptor,5888-1,Dino,2012,5888-1,222,2,,~$54.83,"Pieces,222,Minifigs,2, (1 unique to this set),Minifigs,dino002, ,dino008, ,RRP,$34.99 | ,More,PPP,15.8c,Packaging,Box,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$91.11,Value used,~$54.83,Notes,In the US, this set was exclusive to Toys R Us."
Red,6132-1,Duplo,Cars,2012,13,1,,,"Pieces,13,Minifigs,1, (1 unique to this set),Minifigs,crs027, ,RRP,$14.99 | ,More,PPP,115.3c,Packaging,Box,Additional images,5,Value new,~$60.00,Value used,~$17.00"
Race Day,6133-1,Duplo,Cars,2012,26,2,,,"Pieces,26,Minifigs,2, (1 unique to this set),Minifigs,crs051, ,crs063, ,RRP,$24.99 | ,More,PPP,96.1c,Packaging,Box,Additional images,4,Value new,~$46.60,Value used,~$13.14"
Siddeley Saves The Day,6134-1,Duplo,Cars,2012,34,3,,~$24.07,"Pieces,34,Minifigs,3, (2 unique to this set),Minifigs,crs026, ,crs028, ,crs062, ,RRP,$34.99 | ,More,PPP,102.9c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2012 - 31 Dec 2012 (6m 30d),Value new,~$57.59,Value used,~$24.07"
My First Farm,6141-1,Duplo,Farm,2012,62,1,,~$24.78,"Pieces,62,Minifigs,1, ,Minifigs,47394pb011a, ,RRP,$24.99 | ,More,PPP,40.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$60.00,Value used,~$24.78"
Racing Team,6143-1,Duplo,2012,6143-1,34,2,,,"Pieces,34,Minifigs,2, (2 unique to this set),Minifigs,47394pb160, ,47394pb161, ,Packaging,Box,Additional images,7,Value new,~$40.39,Value used,~$32.88"
Sleeping Beauty's Room,6151-1,Duplo,Disney Princess,2012,16,1,,,"Pieces,16,Minifigs,1, (1 unique to this set),Minifigs,47394pb147, ,RRP,$12.99 | ,More,PPP,81.2c,Packaging,Box,Additional images,5,Value new,~$32.91,Value used,~$16.42"
