nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
NEX,6221-1,HERO Factory,Breakout,2012,39,,66446-1,~$11.34,"Pieces,39,RRP,$8.99 | ,More,PPP,23.1c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$22.06,Value used,~$11.34,Related sets,Included in ,66446-1, "
CORE HUNTER,6222-1,HERO Factory,Breakout,2012,51,,,~$25.83,"Pieces,51,RRP,$12.99 | ,More,PPP,25.5c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Dec 2012 (4m 30d),Value new,~$55.55,Value used,~$25.83"
BULK,6223-1,HERO Factory,Breakout,2012,61,,,~$13.45,"Pieces,61,RRP,$12.99 | ,More,PPP,21.3c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$27.37,Value used,~$13.45"
BREEZ,6227-1,HERO Factory,Breakout,2012,55,,,~$13.13,"Pieces,55,RRP,$12.99 | ,More,PPP,23.6c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$23.40,Value used,~$13.13"
THORNRAXX,6228-1,HERO Factory,Breakout,2012,44,,Random set of the day,~$8.72,"Pieces,44,RRP,$12.99 | ,More,PPP,29.5c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$38.17,Value used,~$8.72,Notes,Random set of the day, on 01 Jan 2022"
XT4,6229-1,HERO Factory,Breakout,2012,39,,Random set of the day,~$14.76,"Pieces,39,RRP,$8.99 | ,More,PPP,23.1c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Dec 2012 (4m 30d),Value new,~$20.93,Value used,~$14.76,Notes,Random set of the day, on 21 Sep 2023"
STORMER XL,6230-1,HERO Factory,Breakout,2012,89,,,~$27.59,"Pieces,89,RRP,$34.99 | ,More,PPP,39.3c,Packaging,Box,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$100.89,Value used,~$27.59"
SPEEDA DEMON,6231-1,HERO Factory,Breakout,2012,192,,,~$39.00,"Pieces,192,RRP,$34.99 | ,More,PPP,18.2c,Packaging,Box,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$64.84,Value used,~$39.00"
STRINGER,6282-1,HERO Factory,Breakout,2012,42,,66452-1,~$11.30,"Pieces,42,RRP,$8.99 | ,More,PPP,21.4c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$20.41,Value used,~$11.30,Related sets,Included in ,66452-1, "
VOLTIX,6283-1,HERO Factory,Breakout,2012,61,,66452-1,~$12.80,"Pieces,61,RRP,$12.99 | ,More,PPP,21.3c,Packaging,Foil pack,Instructions,Yes,Additional images,2,Launch/exit,1 Aug 2012 - 31 Jul 2013 (11m 29d),Value new,~$12.68,Value used,~$12.80,Related sets,Included in ,66452-1, "
FURNO,6293-1,HERO Factory,Breakout,2012,56,,66437-1,~$11.29,"Pieces,56,RRP,$12.99 | ,More,PPP,23.2c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Jan 2012 - 31 Dec 2012 (11m 30d),Value new,~$58.21,Value used,~$11.29,Related sets,Included in ,66437-1, "
Grow Caterpillar Grow!,6758-1,Duplo,2012,6758-1,17,,,~$8.87,"Pieces,17,RRP,$12.99 | ,More,PPP,76.4c,Packaging,Blister pack,Additional images,5,Designer,Andy Seenan, ,Value new,~$14.99,Value used,~$8.87"
Busy Farm,6759-1,Duplo,2012,6759-1,15,,,~$5.13,"Pieces,15,RRP,$12.99, €14.99 | ,More,PPP,86.6c, 99.9c,Packaging,Blister pack,Additional images,4,Designer,Andy Seenan, ,Value new,~$4.51,Value used,~$5.13"
Let's Go! Vroom!,6760-1,Duplo,2012,6760-1,12,,,~$11.95,"Pieces,12,RRP,$12.99 | ,More,PPP,108.3c,Packaging,Blister pack,Additional images,7,Designer,Andy Seenan, ,Value new,~$35.92,Value used,~$11.95"
Creative Sorter,6784-1,Duplo,2012,6784-1,23,,,~$10.71,"Pieces,23,RRP,$19.99 | ,More,PPP,86.9c,Packaging,Tub,Additional images,5,Designer,Junya Suzuki, ,Value new,~$27.50,Value used,~$10.71"
Creative Cakes,6785-1,Duplo,2012,6785-1,55,,,~$31.94,"Pieces,55,RRP,$24.99 | ,More,PPP,45.4c,Packaging,Other,Instructions,Yes,Additional images,5,Launch/exit,1 Jan 2012 - 31 Dec 2014 (2y 11m 29d),Value new,~$33.18,Value used,~$31.94"
The Dynamic Duo Funhouse Escape,6857-1,DC Comics Super Heroes,Batman,2012,380,5,,~$53.71,"Pieces,380,Minifigs,5, (1 unique to this set),Minifigs,sh005, ,sh008, ,sh011, ,sh024, ,sh025, ,RRP,$39.99 | ,More,PPP,10.5c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$66.06,Value used,~$53.71,Notes,In the US, this set is exclusive to Toys R Us."
Catwoman Catcycle City Chase,6858-1,DC Comics Super Heroes,Batman,2012,89,2,Random set of the day,~$10.04,"Pieces,89,Minifigs,2, (2 unique to this set),Minifigs,sh006, ,sh019, ,RRP,$12.99 | ,More,PPP,14.6c,Packaging,Box,Instructions,Yes,Additional images,4,Launch/exit,1 Jan 2012 - 31 Jul 2013 (1y 6m 29d),Value new,~$18.87,Value used,~$10.04,Notes,Random set of the day, on 14 Apr 2022"
The Batcave,6860-1,DC Comics Super Heroes,Batman,2012,690,5,~$62.50,~$91.02,"Pieces,690,Minifigs,5, (2 unique to this set),Minifigs,sh009, ,sh010, ,sh011, ,sh025, ,sh026, ,RRP,$69.99 | ,More,PPP,10.1c,Packaging,Box,Instructions,Yes,Additional images,4,Designer,Bjarke Lykke Madsen, ,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$91.02,Value used,~$62.50,Notes,Later versions came with minifig SH025A instead of SH025."
Superman vs. Power Armor Lex,6862-2,DC Comics Super Heroes,Superman,2012,207,3,,~$15.76,"Pieces,207,Minifigs,3, (1 unique to this set),Minifigs,sh003, ,sh004, ,sh012, ,RRP,$19.99 | ,More,PPP,9.7c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$30.28,Value used,~$15.76"
